# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\amgui\Dropbox\Projects\FPGA\DE1 Template\DE1 Pin Assignments.csv
# Generated on: Sat Nov 05 11:35:30 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Differential Pair
LEDR[8],Unknown,PIN_R18,6,B6_N0,,,,
LEDR[9],Unknown,PIN_R17,6,B6_N1,,,,
LEDG[0],Unknown,PIN_U22,6,B6_N1,,,,
LEDG[1],Unknown,PIN_U21,6,B6_N1,,,,
LEDG[2],Unknown,PIN_V22,6,B6_N1,,,,
LEDG[3],Unknown,PIN_V21,6,B6_N1,,,,
LEDG[4],Unknown,PIN_W22,6,B6_N1,,,,
LEDG[5],Unknown,PIN_W21,6,B6_N1,,,,
LEDG[6],Unknown,PIN_Y22,6,B6_N1,,,,
LEDG[7],Unknown,PIN_Y21,6,B6_N1,,,,
CLOCK_27[0],Unknown,PIN_D12,3,B3_N0,,,,
CLOCK_27[1],Unknown,PIN_E12,3,B3_N0,,,,
CLOCK_24[0],Unknown,PIN_B12,4,B4_N1,,,,
CLOCK_24[1],Unknown,PIN_A12,4,B4_N1,,,,
CLOCK_50,Unknown,PIN_L1,2,B2_N1,,,,
EXT_CLOCK,Unknown,PIN_M21,6,B6_N0,,,,
PS2_CLK,Unknown,PIN_H15,4,B4_N0,,,,
PS2_DAT,Unknown,PIN_J14,4,B4_N0,,,,
UART_RXD,Unknown,PIN_F14,4,B4_N1,,,,
UART_TXD,Unknown,PIN_G12,4,B4_N1,,,,
TDI,Unknown,PIN_E8,3,B3_N1,,,,
TCS,Unknown,PIN_D8,3,B3_N1,,,,
TCK,Unknown,PIN_C7,3,B3_N1,,,,
TDO,Unknown,PIN_D7,3,B3_N1,,,,
VGA_R[0],Unknown,PIN_D9,3,B3_N0,,,,
VGA_R[1],Unknown,PIN_C9,3,B3_N1,,,,
VGA_R[2],Unknown,PIN_A7,3,B3_N1,,,,
VGA_R[3],Unknown,PIN_B7,3,B3_N1,,,,
VGA_G[0],Unknown,PIN_B8,3,B3_N0,,,,
VGA_G[1],Unknown,PIN_C10,3,B3_N0,,,,
VGA_G[2],Unknown,PIN_B9,3,B3_N0,,,,
VGA_G[3],Unknown,PIN_A8,3,B3_N0,,,,
VGA_B[0],Unknown,PIN_A9,3,B3_N0,,,,
VGA_B[1],Unknown,PIN_D11,3,B3_N0,,,,
VGA_B[2],Unknown,PIN_A10,3,B3_N0,,,,
VGA_B[3],Unknown,PIN_B10,3,B3_N0,,,,
VGA_HS,Unknown,PIN_A11,3,B3_N0,,,,
VGA_VS,Unknown,PIN_B11,3,B3_N0,,,,
I2C_SCLK,Unknown,PIN_A3,3,B3_N1,,,,
I2C_SDAT,Unknown,PIN_B3,3,B3_N1,,,,
AUD_ADCLRCK,Unknown,PIN_A6,3,B3_N1,,,,
AUD_ADCDAT,Unknown,PIN_B6,3,B3_N1,,,,
AUD_DACLRCK,Unknown,PIN_A5,3,B3_N1,,,,
AUD_DACDAT,Unknown,PIN_B5,3,B3_N1,,,,
AUD_XCK,Unknown,PIN_B4,3,B3_N1,,,,
AUD_BCLK,Unknown,PIN_A4,3,B3_N1,,,,
DRAM_ADDR[0],Unknown,PIN_W4,1,B1_N1,,,,
DRAM_ADDR[1],Unknown,PIN_W5,1,B1_N1,,,,
DRAM_ADDR[2],Unknown,PIN_Y3,1,B1_N1,,,,
DRAM_ADDR[3],Unknown,PIN_Y4,1,B1_N1,,,,
DRAM_ADDR[4],Unknown,PIN_R6,1,B1_N1,,,,
DRAM_ADDR[5],Unknown,PIN_R5,1,B1_N1,,,,
DRAM_ADDR[6],Unknown,PIN_P6,1,B1_N0,,,,
DRAM_ADDR[7],Unknown,PIN_P5,1,B1_N0,,,,
DRAM_ADDR[8],Unknown,PIN_P3,1,B1_N0,,,,
DRAM_ADDR[9],Unknown,PIN_N4,1,B1_N0,,,,
DRAM_ADDR[10],Unknown,PIN_W3,1,B1_N1,,,,
DRAM_ADDR[11],Unknown,PIN_N6,1,B1_N0,,,,
DRAM_BA_0,Unknown,PIN_U3,1,B1_N1,,,,
DRAM_BA_1,Unknown,PIN_V4,1,B1_N1,,,,
DRAM_CAS_N,Unknown,PIN_T3,1,B1_N1,,,,
DRAM_CKE,Unknown,PIN_N3,1,B1_N0,,,,
DRAM_CLK,Unknown,PIN_U4,1,B1_N1,,,,
DRAM_CS_N,Unknown,PIN_T6,1,B1_N1,,,,
DRAM_DQ[0],Unknown,PIN_U1,1,B1_N1,,,,
DRAM_DQ[1],Unknown,PIN_U2,1,B1_N1,,,,
DRAM_DQ[2],Unknown,PIN_V1,1,B1_N1,,,,
DRAM_DQ[3],Unknown,PIN_V2,1,B1_N1,,,,
DRAM_DQ[4],Unknown,PIN_W1,1,B1_N1,,,,
DRAM_DQ[5],Unknown,PIN_W2,1,B1_N1,,,,
DRAM_DQ[6],Unknown,PIN_Y1,1,B1_N1,,,,
DRAM_DQ[7],Unknown,PIN_Y2,1,B1_N1,,,,
DRAM_DQ[8],Unknown,PIN_N1,1,B1_N0,,,,
DRAM_DQ[9],Unknown,PIN_N2,1,B1_N0,,,,
DRAM_DQ[10],Unknown,PIN_P1,1,B1_N0,,,,
DRAM_DQ[11],Unknown,PIN_P2,1,B1_N0,,,,
DRAM_DQ[12],Unknown,PIN_R1,1,B1_N0,,,,
DRAM_DQ[13],Unknown,PIN_R2,1,B1_N0,,,,
DRAM_DQ[14],Unknown,PIN_T1,1,B1_N0,,,,
DRAM_DQ[15],Unknown,PIN_T2,1,B1_N0,,,,
DRAM_LDQM,Unknown,PIN_R7,1,B1_N0,,,,
DRAM_RAS_N,Unknown,PIN_T5,1,B1_N1,,,,
DRAM_UDQM,Unknown,PIN_M5,1,B1_N0,,,,
DRAM_WE_N,Unknown,PIN_R8,1,B1_N0,,,,
FL_ADDR[0],Unknown,PIN_AB20,7,B7_N0,,,,
FL_ADDR[1],Unknown,PIN_AA14,7,B7_N1,,,,
FL_ADDR[2],Unknown,PIN_Y16,7,B7_N0,,,,
FL_ADDR[3],Unknown,PIN_R15,7,B7_N0,,,,
FL_ADDR[4],Unknown,PIN_T15,7,B7_N0,,,,
FL_ADDR[5],Unknown,PIN_U15,7,B7_N0,,,,
FL_ADDR[6],Unknown,PIN_V15,7,B7_N0,,,,
FL_ADDR[7],Unknown,PIN_W15,7,B7_N0,,,,
FL_ADDR[8],Unknown,PIN_R14,7,B7_N0,,,,
FL_ADDR[9],Unknown,PIN_Y13,7,B7_N1,,,,
FL_ADDR[10],Unknown,PIN_R12,7,B7_N1,,,,
FL_ADDR[11],Unknown,PIN_T12,7,B7_N1,,,,
FL_ADDR[12],Unknown,PIN_AB14,7,B7_N1,,,,
FL_ADDR[13],Unknown,PIN_AA13,7,B7_N1,,,,
FL_ADDR[14],Unknown,PIN_AB13,7,B7_N1,,,,
FL_ADDR[15],Unknown,PIN_AA12,7,B7_N1,,,,
FL_ADDR[16],Unknown,PIN_AB12,7,B7_N1,,,,
FL_ADDR[17],Unknown,PIN_AA20,7,B7_N0,,,,
FL_ADDR[18],Unknown,PIN_U14,7,B7_N0,,,,
FL_ADDR[19],Unknown,PIN_V14,7,B7_N1,,,,
FL_ADDR[20],Unknown,PIN_U13,7,B7_N1,,,,
FL_ADDR[21],Unknown,PIN_R13,7,B7_N0,,,,
FL_DQ[0],Unknown,PIN_AB16,7,B7_N1,,,,
FL_DQ[1],Unknown,PIN_AA16,7,B7_N1,,,,
FL_DQ[2],Unknown,PIN_AB17,7,B7_N1,,,,
FL_DQ[3],Unknown,PIN_AA17,7,B7_N1,,,,
FL_DQ[4],Unknown,PIN_AB18,7,B7_N0,,,,
FL_DQ[5],Unknown,PIN_AA18,7,B7_N0,,,,
FL_DQ[6],Unknown,PIN_AB19,7,B7_N0,,,,
FL_DQ[7],Unknown,PIN_AA19,7,B7_N0,,,,
FL_OE_N,Unknown,PIN_AA15,7,B7_N1,,,,
FL_RST_N,Unknown,PIN_W14,7,B7_N1,,,,
FL_WE_N,Unknown,PIN_Y14,7,B7_N0,,,,
SRAM_ADDR[0],Unknown,PIN_AA3,8,B8_N1,,,,
SRAM_ADDR[1],Unknown,PIN_AB3,8,B8_N1,,,,
SRAM_ADDR[2],Unknown,PIN_AA4,8,B8_N1,,,,
SRAM_ADDR[3],Unknown,PIN_AB4,8,B8_N1,,,,
SRAM_ADDR[4],Unknown,PIN_AA5,8,B8_N1,,,,
SRAM_ADDR[5],Unknown,PIN_AB10,8,B8_N0,,,,
SRAM_ADDR[6],Unknown,PIN_AA11,8,B8_N0,,,,
SRAM_ADDR[7],Unknown,PIN_AB11,8,B8_N0,,,,
SRAM_ADDR[8],Unknown,PIN_V11,8,B8_N0,,,,
SRAM_ADDR[9],Unknown,PIN_W11,8,B8_N0,,,,
SRAM_ADDR[10],Unknown,PIN_R11,8,B8_N0,,,,
SRAM_ADDR[11],Unknown,PIN_T11,8,B8_N0,,,,
SRAM_ADDR[12],Unknown,PIN_Y10,8,B8_N0,,,,
SRAM_ADDR[13],Unknown,PIN_U10,8,B8_N0,,,,
SRAM_ADDR[14],Unknown,PIN_R10,8,B8_N0,,,,
SRAM_ADDR[15],Unknown,PIN_T7,8,B8_N1,,,,
SRAM_ADDR[16],Unknown,PIN_Y6,8,B8_N1,,,,
SRAM_ADDR[17],Unknown,PIN_Y5,8,B8_N1,,,,
SRAM_CE_N,Unknown,PIN_AB5,8,B8_N1,,,,
SRAM_DQ[0],Unknown,PIN_AA6,8,B8_N1,,,,
SRAM_DQ[1],Unknown,PIN_AB6,8,B8_N1,,,,
SRAM_DQ[2],Unknown,PIN_AA7,8,B8_N1,,,,
SRAM_DQ[3],Unknown,PIN_AB7,8,B8_N1,,,,
SRAM_DQ[4],Unknown,PIN_AA8,8,B8_N0,,,,
SRAM_DQ[5],Unknown,PIN_AB8,8,B8_N0,,,,
SRAM_DQ[6],Unknown,PIN_AA9,8,B8_N0,,,,
SRAM_DQ[7],Unknown,PIN_AB9,8,B8_N0,,,,
SRAM_DQ[8],Unknown,PIN_Y9,8,B8_N0,,,,
SRAM_DQ[9],Unknown,PIN_W9,8,B8_N0,,,,
SRAM_DQ[10],Unknown,PIN_V9,8,B8_N1,,,,
SRAM_DQ[11],Unknown,PIN_U9,8,B8_N0,,,,
SRAM_DQ[12],Unknown,PIN_R9,8,B8_N0,,,,
SRAM_DQ[13],Unknown,PIN_W8,8,B8_N1,,,,
SRAM_DQ[14],Unknown,PIN_V8,8,B8_N1,,,,
SRAM_DQ[15],Unknown,PIN_U8,8,B8_N1,,,,
SRAM_LB_N,Unknown,PIN_Y7,8,B8_N1,,,,
SRAM_OE_N,Unknown,PIN_T8,8,B8_N1,,,,
SRAM_UB_N,Unknown,PIN_W7,8,B8_N1,,,,
SRAM_WE_N,Unknown,PIN_AA10,8,B8_N0,,,,
